,Lever Social Distance I,Lever Social Distance II,Lever Social Distance III,Lever Public Info,Lever Public Edu,Lever Facemasks,Lever Tracing,Lever Case Isolation,Lever Voluntary or Involuntary Vaccination,Lever Vaccination,Lever Medical Care I,Lever Medical Care II,Deceased population,Infectious population,Stock Total Effort,Stock Societal Stress
51,0.7950174001880539,0.3056608070026951,0.24578479332506536,0.5119329551509051,0.38623769830909016,0.9398916732532552,0.47579467660190833,0.4167557511863721,0.8414882153214179,0.8558464470115345,0.5589428766391762,0.1440868914725798,48905.7890625,3541.1713407785273,733.07861328125,45.19175720214844
52,0.4035021606112025,0.2593196902638033,0.8875562694854464,0.595474015038168,0.6554051826308015,0.06027149164119988,0.672753266655533,0.6912370839401859,0.5670595069727233,0.7276154571430565,0.08115636098833945,0.3353832153354946,48626.18359375,3511.5325320070074,1032.899658203125,61.09825897216797
53,0.7639193821433252,0.2593196902638033,0.11342697731018847,0.0013480823160900157,0.29004309415518303,0.02180696170370594,0.442554395101652,0.5792781276573445,0.6075297214666343,0.9944273890527879,0.01972235403197077,0.9192172455066222,47778.09375,3500.0535864489507,1190.9490966796875,56.47297286987305
54,0.768867329301365,0.3018806936706509,0.8785641835498983,0.4686330181190794,0.2145836636291853,0.16814872702812092,0.3811939529888701,0.3771351791239476,0.4849388106885763,0.9081603494425006,0.19745772833955086,0.1936056307411608,47682.3515625,3553.0679460758884,625.2315673828125,50.83135223388672
55,0.7950174001880539,0.3056608070026951,0.9028616130286493,0.5168215677668334,0.38623769830909016,0.9398916732532552,0.47579467660190833,0.4167557511863721,0.8414882153214179,0.8558464470115345,0.5589428766391762,0.1440868914725798,48991.0078125,3533.6575501302577,791.9090576171875,53.4218864440918
56,0.7737547983754622,0.3018806936706509,0.4626147942357378,0.05102876870534187,0.5853130303032819,0.06102688816646984,0.40269782279060523,0.5888234436976917,0.5928953965054751,0.8680222991011362,0.21234418528034976,0.19578354310387586,47890.86328125,3517.583729738536,915.7876586914062,56.93848419189453
57,0.4470479877098912,0.31386397031423824,0.12320750298894423,0.3166242518714875,0.6524918690948853,0.11526188183239255,0.4925989551606747,0.3251639202805994,0.5840618272854216,0.7277820922034648,0.01344033651040935,0.685258502721843,48055.83203125,3538.834239869379,766.1678466796875,25.478368759155273
58,0.4035021606112025,0.2593196902638033,0.8875562694854464,0.595474015038168,0.9925345311573914,0.06027149164119988,0.672753266655533,0.6912370839401859,0.5670595069727233,0.7328790568733913,0.8027489042897271,0.3353832153354946,48777.48828125,3504.9669237871603,1159.955322265625,61.86540985107422
59,0.32950236070787964,0.3056608070026951,0.49859890852394684,0.5119329551509051,0.38915101185102163,0.9579538116128216,0.0011963819952027547,0.45669076743900944,0.6484827900641943,0.7411807274762112,0.22131024949784203,0.28732543339780703,48997.03125,3556.320415529391,503.1590881347656,26.5723934173584
60,0.4221226520988381,0.19450002795376967,0.8536438453306497,0.5935433032283324,0.5213611138590496,0.9535762576662684,0.0010810156973755092,0.6940871564408866,0.7330615417128281,0.7373571038681201,0.814223387353056,0.9428887501003039,47624.6875,3489.4826145911115,1394.1552734375,61.84675979614258
61,0.3894508962432329,0.2484564290849779,0.4350712431208249,0.013359629784260875,0.18443943619205674,0.021519394225301303,0.5057201085618429,0.38196864062826635,0.594758676282936,0.7282726746110728,0.519625054836458,0.08198383602092077,48847.984375,3547.337813440745,653.3836669921875,33.76289367675781
62,0.29016961753709136,0.3018806936706509,0.4565675677288522,0.5193602719758277,0.2145836636291853,0.16184366993676158,0.40269782279060523,0.3680270238754695,0.5564883639572222,0.5985191572744241,0.20029717044020054,0.13514451085178747,48997.0,3558.832856650699,456.574462890625,23.682376861572266
63,0.4108692574555094,0.25811179666777917,0.2055768141827751,0.5915481204104234,0.38915101185102163,0.9398916732532552,0.46874668590138663,0.6908193195323147,0.593195391489025,0.7281003217738091,0.6302611877235362,0.1794443392934887,47835.078125,3517.636242540103,977.8014526367188,54.316139221191406
64,0.4108692574555094,0.25811179666777917,0.19370383065212246,0.513126758798004,0.6122066611022204,0.9598816410262433,0.7203171874969254,0.5860403385362921,0.593195391489025,0.8095996214503687,0.584614788423953,0.17343319268394813,47757.98046875,3510.3278889051976,1105.4134521484375,56.91496658325195
65,0.4595939754571744,0.19450002795376967,0.8536438453306497,0.5935433032283324,0.5213611138590496,0.939302097026629,0.0010810156973755092,0.3798763109263629,0.7330615417128281,0.7367767309599145,0.814223387353056,0.9654679857627753,47855.28125,3522.4956824579613,1042.0032958984375,40.350196838378906
66,0.4108692574555094,0.30974573166143926,0.2055768141827751,0.5915481204104234,0.38915101185102163,0.11932970410513555,0.40309667929651266,0.6908193195323147,0.593110650823936,0.7281003217738091,0.20848121267430536,0.194272598809407,47928.08984375,3526.951970980525,819.362548828125,52.69059753417969
67,0.3703884640646996,0.3139566132986297,0.5363752645048406,0.3191666017784252,0.6524918690948853,0.030140998829964648,0.4027450602146532,0.3251639202805994,0.5846091697744034,0.6523800921265761,0.01344033651040935,0.7062731657812011,47958.96484375,3531.738404157615,887.02734375,36.91117858886719
68,0.4108692574555094,0.25811179666777917,0.8971372788770364,0.513126758798004,0.3971710999869624,0.9398916732532552,0.46874668590138663,0.38014390421270194,0.593195391489025,0.7281003217738091,0.5589428766391762,0.25110890304918415,48986.38671875,3541.994323468106,693.6029052734375,36.78597640991211
69,0.4035021606112025,0.2593196902638033,0.1957629707052545,0.595474015038168,0.6445232023653642,0.060461578302335825,0.6365981550394118,0.6912370839401859,0.5670595069727233,0.7276154571430565,0.05563461349748999,0.3353832153354946,47778.5859375,3519.9050267515872,946.9796142578125,55.55903625488281
70,0.4687221587476968,0.19533463680319266,0.8897234856626703,0.04008490994328215,0.4036255487905539,0.06778958484732334,0.3811907228063203,0.3002423576915027,0.4868020904660374,0.7242078918045013,0.08318771397205643,0.1688502022248095,47682.8515625,3561.1477089206714,538.6151123046875,33.229530334472656
71,0.3991551801974169,0.7275254652118527,0.5507658229033023,0.43578566549087966,0.9741315137318398,0.6881962963791876,0.9861861876675198,0.5197503988396125,0.5593600001306696,0.869664366444721,0.8301516401066265,0.9036191937461708,47621.48828125,3480.203834673182,1449.7276611328125,65.09632873535156
