,contact rate coefficient,treatment rate coefficient,Deceased population,Infectious population,contact rate coefficient,treatment rate coefficient
0,0.9926467262027056,0.2521109761582673,12140.843726198216,47833.93866760612,0.9926467262027056,0.2521109761582673
1,0.9143793884718032,0.5214889407149161,25106.818935206116,45342.73854774971,0.9143793884718032,0.5214889407149161
2,0.9546552994766601,0.9199639943446467,44546.23479994289,47118.74679397736,0.9546552994766601,0.9199639943446467
3,0.8601984162276869,0.7143153277778228,34391.18786946601,43451.948181625936,0.8601984162276869,0.7143153277778228
4,0.864192082561615,0.45871458424633527,21995.10784433557,43376.608612823606,0.864192082561615,0.45871458424633527
5,0.5262557509592187,0.3559232833790364,14834.741494003452,25366.369727328736,0.5262557509592187,0.3559232833790364
6,0.5330906494255204,0.9230063805807055,41181.629402657476,26472.835293430515,0.5330906494255204,0.9230063805807055
7,0.2072738052885059,0.15788808671506022,1.6562382414057404,2.7632210848802017,0.2072738052885059,0.15788808671506022
8,0.3465990048930254,0.9891102675538651,14262.280421027013,11112.537601492659,0.3465990048930254,0.9891102675538651
9,0.726373224867205,0.5218526562820957,24688.634199114626,37357.615713749045,0.726373224867205,0.5218526562820957
10,0.13917337992932138,0.15788808671506022,0.20363879322676787,1.0,0.13917337992932138,0.15788808671506022
11,0.9143793884718032,0.6458051385981074,31143.70289868484,45452.54547865739,0.9143793884718032,0.6458051385981074
12,0.637575351407911,0.2878443350395953,13177.925468276419,32387.815262342327,0.637575351407911,0.2878443350395953
13,0.16171905111926335,0.9398079352443052,1.635712391058877,1.0,0.16171905111926335,0.9398079352443052
14,0.42223819122984785,0.260033316068462,6263.410819157084,17212.81220188861,0.42223819122984785,0.260033316068462
15,0.7211973501651937,0.351124090076408,16498.055446070608,36929.26883827901,0.7211973501651937,0.351124090076408
16,0.8274350803033648,0.5218526562820957,24981.644088846908,41940.0823324873,0.8274350803033648,0.5218526562820957
17,0.6518201513157965,0.33356126721814283,15387.11523885082,33244.543854869364,0.6518201513157965,0.33356126721814283
18,0.23453520550125123,0.8558818085556695,388.208609718263,422.23081163904106,0.23453520550125123,0.8558818085556695
19,0.6203623432065988,0.988137159570567,46649.329558493264,32139.267314650424,0.6203623432065988,0.988137159570567
20,0.6962881671015096,0.8238949196493449,39192.17739896587,36151.451490837615,0.6962881671015096,0.8238949196493449
21,0.7517965771623241,0.19795475388227224,9304.565663889214,38263.331377286726,0.7517965771623241,0.19795475388227224
22,0.5097662670863443,0.7784021690211422,32694.91126164506,24651.252680628273,0.5097662670863443,0.7784021690211422
23,0.556585929224168,0.5242337612759267,23205.724363275745,27627.30214643486,0.556585929224168,0.5242337612759267
24,0.008575754556453454,0.7075076537203024,0.357534338278808,1.0,0.008575754556453454,0.7075076537203024
25,0.3319658866366354,0.1921850751918593,2457.475366566407,9092.341772131982,0.3319658866366354,0.1921850751918593
26,0.44217401877436363,0.08186937329484278,2110.0420673453486,18688.913659000762,0.44217401877436363,0.08186937329484278
27,0.7900869897434966,0.17902450046457571,8462.183951032144,40003.938747837485,0.7900869897434966,0.17902450046457571
28,0.3145033552710129,0.41610502815932526,4985.190790903177,7632.635392255194,0.3145033552710129,0.41610502815932526
29,0.9485301996496722,0.5087873213998083,24529.95642472427,46553.66101449823,0.9485301996496722,0.5087873213998083
30,0.15537698541953882,0.8785763476590943,1.3943750229399083,1.0,0.15537698541953882,0.8785763476590943
31,0.44217401877436363,0.10548357928570555,2728.865970444753,18712.67887529213,0.44217401877436363,0.10548357928570555
32,0.7127170521949285,0.463816895806038,21847.351838036488,36617.919342517656,0.7127170521949285,0.463816895806038
33,0.5058186762679917,0.6244172087681802,25461.7009442223,24192.416312197496,0.5058186762679917,0.6244172087681802
34,0.6078467369776511,0.4517750619406572,20614.531047474327,30805.930429492637,0.6078467369776511,0.4517750619406572
35,0.6311087407688344,0.6611083864661584,30804.225312717477,32410.8804694427,0.6311087407688344,0.6611083864661584
36,0.6165055444092237,0.9996096028122333,47170.546911295976,31923.95510521614,0.6165055444092237,0.9996096028122333
37,0.947491392585314,0.6141042267241942,29642.74368616539,46607.70607476541,0.947491392585314,0.6141042267241942
38,0.30213724428095085,0.7189186922862277,8130.481260685065,6679.8310743096945,0.30213724428095085,0.7189186922862277
39,0.6096007227455328,0.05657771484921682,2519.3295402233416,30493.615841940824,0.6096007227455328,0.05657771484921682
40,0.9561874967448227,0.16503754312085311,7923.444507712858,46527.00707692955,0.9561874967448227,0.16503754312085311
41,0.3300994143481128,0.8349182262967393,11224.78904161889,9411.338649392595,0.3300994143481128,0.8349182262967393
42,0.6070583260294041,0.45718039024794044,20860.22657822066,30763.625664752206,0.6070583260294041,0.45718039024794044
43,0.06417459660726371,0.9389860321781001,0.6407978235584265,1.0,0.06417459660726371,0.9389860321781001
44,0.8169544082490342,0.00022663178415815739,10.700519921688251,41009.195477582565,0.8169544082490342,0.00022663178415815739
45,0.5133902613565855,0.3949460708736677,16032.283660363859,24491.494333786315,0.5133902613565855,0.3949460708736677
46,0.9257872737267362,0.6200106597619932,29904.487590035907,45843.25707699947,0.9257872737267362,0.6200106597619932
47,0.6170589196000039,0.00022663178415815739,10.098986218063489,30883.44951397325,0.6170589196000039,0.00022663178415815739
48,0.22167229076275632,0.7253856493397111,49.157461984429624,42.6431067825156,0.22167229076275632,0.7253856493397111
49,0.6311087407688344,0.5838024345217089,27093.385427139132,32327.747818701806,0.6311087407688344,0.5838024345217089
50,0.8242769989301767,0.6627370009429786,31807.709229457418,41942.07754665482,0.8242769989301767,0.6627370009429786
