,Lever Social Distance I,Lever Social Distance II,Lever Social Distance III,Lever Public Info,Lever Public Edu,Lever Facemasks,Lever Tracing,Lever Case Isolation,Lever Voluntary or Involuntary Vaccination,Lever Vaccination,Lever Medical Care I,Lever Medical Care II,Deceased population,Infectious population,Stock Total Effort,Stock Societal Stress
43,0.10565806882366702,0.312479121555697,0.6780777712367879,0.013038524253926969,0.5945805497463548,0.9855258740234305,0.7764303150748242,0.3011971077309053,0.9790563284981326,0.9789544260448033,0.6084997856826582,0.5786282472342361,10587.3232421875,515.3006407326166,1079.4384765625,46.252681732177734
44,0.8814765132540505,0.9362537939521011,0.6780777712367879,0.049137193388956085,0.5596700661256812,0.24770993498528288,0.8237073945499391,0.2773515120104696,0.8159460770333459,0.5596806784621031,0.693186254137226,0.5786282472342361,10587.7431640625,497.9621658163039,1217.922119140625,58.424171447753906
45,0.8940782054744102,0.027058321790117024,0.29228325700730073,0.31235071895916167,0.44050187951671677,0.02619766170531862,0.7303166278580075,0.9462595585522003,0.8244476823158087,0.8918437885132423,0.5827706335454721,0.5724604115385408,10586.8369140625,477.70739479869667,1509.3035888671875,68.4242935180664
46,0.10169095523231247,0.2778094671240139,0.6376531174082017,0.012770930197384915,0.13782456932826997,0.2201949868041263,0.05397351865071659,0.07697911967148752,0.021044951703088687,0.6065662670132954,0.5078133299462084,0.9643047530339552,11048.0361328125,535.267137524713,889.8460693359375,40.574684143066406
47,0.15147148646471775,0.015206665627460113,0.08079024592580258,0.5636828576940439,0.08060627160019283,0.2492322210667126,0.2693424028380041,0.31961920354124684,0.02577179077288646,0.5638438306159728,0.12657554262439955,0.5243377660179165,11070.1650390625,569.5674883867457,771.4183959960938,25.826675415039062
48,0.1988844357850977,0.29482050732349013,0.10884989092577149,0.5607867139007905,0.5858615678683676,0.2476066192392504,0.1457615902850624,0.3911772942570397,0.5779738239321978,0.5884951396951833,0.5785253238366569,0.39736564462920015,10594.095703125,587.3256225932503,560.8482055664062,27.544462203979492
49,0.9075934358422635,0.8976482475746311,0.6376531174082017,0.048807497791354376,0.5897860761558724,0.37823122846643525,0.8143463249753278,0.07697911967148752,0.021044951703088687,0.599492694526116,0.5078133299462084,0.9643047530339552,10918.533203125,490.540509528497,1217.922119140625,58.424171447753906
50,0.8841286574984951,0.006554675129157139,0.7235152799519913,0.5614506320026869,0.5794777688137369,0.6985173962352922,0.28076530432290836,0.5318069797410385,0.4439081441303425,0.9714079665396746,0.7255634660193404,0.9485065763049031,10818.759765625,458.32692152463386,1525.313232421875,74.98741912841797
51,0.8448296033273893,0.026912122299580343,0.2749686929458141,0.05261101292298323,0.4511748533881233,0.02619766170531862,0.7439368239152429,0.2731213057644866,0.0940009908395722,0.5687111613777711,0.5953344573425328,0.5724604115385408,10956.525390625,518.3042235474111,1073.8450927734375,48.95286178588867
52,0.040549641612287746,0.28761023067912556,0.5875466713584323,0.012833253031875488,0.13289548407766993,0.22419717684799606,0.0290844353647996,0.6687039272372894,0.015049809816740534,0.8824657139949268,0.6918291552685099,0.9643047530339552,10891.732421875,485.1132741846187,1323.0517578125,61.591712951660156
53,0.8448296033273893,0.026912122299580343,0.5970327658360062,0.05261101292298323,0.4347718404721723,0.3917383455256678,0.7439368239152429,0.24917478024274434,0.0940009908395722,0.5687111613777711,0.5847393166730555,0.5856906383948571,10937.4560546875,499.3153126313823,1140.022216796875,56.7613525390625
54,0.6829489051631488,0.06122303558757922,0.21827729044166816,0.39368141384021244,0.5621671544602288,0.7433553946214664,0.18014583984774757,0.31965979659627636,0.7140682687103415,0.5638438306159728,0.05194571660325098,0.39055256848015174,10592.00390625,581.816986885911,653.9486694335938,44.4969596862793
55,0.8418485448461506,0.015206665627460113,0.956967766845327,0.5394220259183167,0.06872520786213787,0.2492322210667126,0.25751346843518264,0.31965979659627636,0.02287032306371073,0.5636939001672884,0.5707731596604755,0.3804587494316947,11124.2138671875,547.651777212167,785.7716064453125,50.81623840332031
56,0.1343796286408176,0.031273939016239524,0.2749686929458141,0.31235071895916167,0.4631403362440586,0.02619766170531862,0.7439368239152429,0.9392183347332906,0.0940009908395722,0.5688610918264555,0.05036952432009234,0.5825542305870541,10883.3525390625,501.7981903347436,1247.5213623046875,53.67908477783203
57,0.15171414841816458,0.038721868259318726,0.2710561469419264,0.4685238568293191,0.45128151344261225,0.41654539327926976,0.7125561464826681,0.9911989330560147,0.019675211993739387,0.5696287327220106,0.5846609175211379,0.5828798305449941,10876.1953125,486.9356643749454,1352.8341064453125,55.13967514038086
58,0.1988844357850977,0.29482050732349013,0.10847842228501958,0.8328838785465983,0.5624200004220492,0.24754656739247824,0.1457615902850624,0.4296188446625593,0.5841763748132166,0.616660548118981,0.09163425166687822,0.5113339420074601,10584.1669921875,572.4960698816164,788.42578125,27.143407821655273
59,0.1988844357850977,0.31453730593063933,0.12307591229115011,0.5607867139007905,0.5858615678683676,0.24731475244020606,0.2842885285094423,0.3911772942570397,0.6309512027905076,0.5877702918299214,0.045183415350581346,0.39736564462920015,10594.427734375,603.2437159993979,455.54864501953125,24.339107513427734
60,0.13135936841774462,0.015206665627460113,0.9693299320805914,0.31713378488439586,0.08060627160019283,0.01913368305199803,0.25751346843518264,0.31965979659627636,0.02287032306371073,0.5638438306159728,0.023300845717762572,0.39055256848015174,11207.564453125,583.7811486404413,482.6170654296875,35.04170227050781
61,0.8406407843113292,0.29348540103521953,0.5631343280140256,0.048869712459075156,0.5848509664388242,0.3822334185084976,0.7815879322062296,0.6687039272372894,0.015049809816740534,0.87539257475462,0.7087338840624205,0.9999567511378065,10817.306640625,448.3545746041471,1610.6937255859375,75.1858901977539
62,0.8448296033273893,0.9197185373748044,0.5869100240655117,0.05261101292298323,0.42881175513486625,0.47223938169495444,0.8685509163127628,0.24917478024274434,0.09938391447928377,0.8852828924195518,0.5820167577412818,0.5869623198191578,10921.1552734375,492.60109866242294,1185.6832275390625,58.350589752197266
63,0.1343796286408176,0.031273939016239524,0.2677616943344255,0.31235071895916167,0.4631403362440586,0.02619766170531862,0.27118482265848176,0.27790079053024946,0.0940009908395722,0.5688610918264555,0.05036952432009234,0.12458219020632619,11222.6708984375,603.7655742890191,386.8559265136719,22.27688980102539
